number;group;name;suggested_cost_price;extra_cost;sales_price;unit_id;stock_quantity;description;min_inventory_quantity;min_sales_quantity;min_purchase_quantity;barcode;default_location_id;variation_id;weight;weight_unit;width;height;depth;size_unit;supplier_product_number;is_barred;discount_group;image_url;Har batchstyring;has_serial_numbers;default_supplier_id
SOL-51108002;25;Bolt DIN 85 M3-6 5.6; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60571022;25;Alternator adapter; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60571043.36;25;Assembly upper bracket; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60571043.41;25;Assembly upper bracket; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60900017;25;3 pin plug Dicoel board; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60900130;25;Flag Receptable Faston Terminal; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60972111;25;120 OHMS resistor (double cable board; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-TFH.1M.4.8.08;25;Ter.Faston female Sec.1 male 4,8x0.8; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-TFH.1M.6.3.08;25;Straight Receptacle 1 Sec. Faston; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-TFH.2.5M.6.0.8;25;Straight Receptacle 2.5 Sec. Faston; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-TFM.4.8.0.8;25;Ter.Faston male 4,8x0.8; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-TFM.6.3.T.5.I;25;Straight Receptacle 6.3 Faston; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-11114098;25;Nut; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-17425283.1;25;Adapter; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-17425289;25;Washer; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-17728002.8;25;Turbine Housing Assy; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-22510425;25;Washer Adjusting 0,2; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-24813500.131;25;Nut; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-24813500.20;25;Screw; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-24850087;25;Plug; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51030003;25;Washer DIN 125-3; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51030006;25;Washer DIN 125-6; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51030014;25;Washer DIN 125-14; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51030016;25;Washer DIN 125-16; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51030022;25;Washer DIN 125-22; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51031008;25;Washer DIN 9021 8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51035006;25;Washer DIN 433-6; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51039013;25;Washer; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51109163;25;Bolt DIN 603 M6-50 5.6; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51123003;25;Nut DIN 985 M3 5.6; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51123010;25;Nut DIN 985 M10 5.6; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51123012;25;Nut DIN 985 M12 5.6; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51918057;25;Bolt DIN 7981 3,9-22; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51918057N;25;Bolt DIN 7981 3,9-22 Black; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52101166;25;Bolt DIN 931 M6-65 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52101169;25;Bolt DIN 931 M6-80 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52101208;25;Bolt DIN 931 M7-25 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52101271;25;Bolt DIN 931 M8-90 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52102106;25;Bolt DIN 933 M5-15 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52102108;25;Bolt DIN 933 M5-20 8.8 CINCADO; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52102110;25;Bolt DIN 933 M5-30 8.8 CINCADO; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52102154;25;Bolt DIN 933 M6-10 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52102155;25;Bolt DIN 933 M6-12 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52102156;25;Bolt DIN 933 M6-16 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52102157;25;Bolt DIN 933 M6-20 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52102160;25;Bolt DIN 933 M6-35 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52102161;25;Bolt DIN 933 M6-40 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52102254;25;Bolt DIN 933 M8-10 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52102258;25;Bolt DIN 933 M8-25 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52103106;25;Bolt DIN 912 M5-16 8.8 CINCADO; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52103107;25;Bolt DIN 912 M5-20 8.8 CINCADO; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52103156;25;Bolt DIN 912 M6-16 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52103157;25;Bolt DIN 912 M6-20 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52103159;25;Bolt DIN 912 M6-30 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52103160;25;Bolt DIN 912 M6-35 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52103261;25;Bolt DIN 912 M8-40 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52103262;25;Bolt DIN 912 M8-45 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52103263;25;Bolt DIN 912 M8-50 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52105156;25;Bolt DIN 7991 M6-15 10.9; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52111157;25;ROD DIN 913 M6-20 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52111257;25;ROD DIN 913 M8-20 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
