VareNr;Afdeling
VK-ALU-01-LÅG-4;10
VK-ALU-01-TRÆ;10
VK-ALU-3/6-LÅG;10
VK-ALU-4-LÅG;10
VK-ARR-1;10
VK-ARR-1-LÅG;10
VK-ARR-1-LÅG-MGC;10
VK-ARR-LÅG-1;10
VK-ARR-LÅG-2;10
VK-GAV-KUFF;10
VK-GAV-KURV;10
VK-GAV-STJER;10
VK-H300012;10
VK-H300013;10
VK-INT-1-LÅG-MGC;10
VK-INT-LÅG-MG;10
VK-INV-01-TRÆ;10
VK-INV-2-LÅG;10
VK-INVITA-2;10
VK-INVITA-2-S;10
VK-LÅG-2-STAR;10
VK-LÅG-3-STAR;10
VK-MÆRSK-2;10
VK-MÆRSK-3;10
VK-MELLEM;10
VK-PAP-1-MG;10
VK-PAP-1-MGCH;10
VK-PAP-1-SORT;10
VK-PAP-2-SORT;10
VK-PAP-3-SORT;10
VK-PAP-4-SORT;10
VK-PAP-6-HVID;10
VK-PAP-6-SORT;10
VK-RET-LÅG-1;10
VK-RUD-2;10
VK-STAR-3;10
VK-STONE-2-H;10
VK-STONE-2h;10
VK-T-STAR;10
VK-T-STAR-2;10
VK-TRÆ-1;10
VK-TRÆ-1-BG;10
VK-TRÆ-1-MGCH;10
VK-TRÆ-12;10
VK-TRÆ-12-BDX;10
VK-TRÆ-12-BG;10
VK-TRÆ-2;10
VK-TRÆ-2-BDX;10
VK-TRÆ-3;10
VK-TRÆ-3-BG;10
VK-TRÆ-4;10
VK-TRÆ-4-BDX;10
VK-TRÆ-6;10
VK-TRÆ-6-BG;10
VK-TRÆULD;10
VM-BM19;7
VM-BM19m;8
VM-BM20;7
VM-BM20m;8
VM-BM21;7
VM-BMm21;8
VM-EGO18;7
VM-EXDRY;7
VM-ROS20;7
VR-AM15;9
VR-AM16;9
VR-AM17;9
VR-RE17;2
VR-REC19;2
VR-REC21;2
VR-RIP19;1
VR-RS17;1
VR-RS18;1
VR-VC19;1
VR-VC20;1
VR-VC21;1
WF-KK19;1
WF-RAKL18;1
WF-RKAB19;1
WF-RKAB20;1
WF-RKAB22;1
WF-RT1L19;3
WF-RT1L20;3
WF-RT1L21;3
WF-RT1L22;3
WF-RTGG18;1
WF-RTGG21;1
WF-RTRB19;1
WF-RTRB20;1
WF-RTRB21;1
WF-SP18;1
WF-SP19;1
WF-SPLIG17;1
WF-SPLIG18;1
WF-SPLIG19;1
WF-SPLIG20;1
WF-SPRM16;1
WF-SPRM18;1
WMD-BOJ23;10
WMD-OFW22-1;10
WMD-OFW22-2;10
WMD-ØST22;10
WMD-SS23;10
WMD-Tempo-23;10
WMD-TRIN23;10
ZIE-BAL-2;10
ZIE-INT-2;10
ZIE-KLUD;10
ZIE-STAR;10
ZIE-STR-2;10
ZIS-EFFE12m;4
